,economy,Country Name,Year,ASFIS species (Name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),"Fish, crustaceans, and molluscs",Country,SP.POP.TOTL,kg of fish per capita caught in 2021
0,ABW,Aruba,2021,All,All,Capture production,Tonnes - live weight,165,Aruba,106537,1.548757709
1,AFG,Afghanistan,2021,All,All,Capture production,Tonnes - live weight,1500,Afghanistan,40099462,0.037406986
2,AGO,Angola,2021,All,All,Capture production,Tonnes - live weight,528964,Angola,34503774,15.33061282
3,ALB,Albania,2021,All,All,Capture production,Tonnes - live weight,9640,Albania,2811666,3.428572242
4,AND,Andorra,2021,All,All,Capture production,Tonnes - live weight,,Andorra,79034,
5,ARE,United Arab Emirates,2021,All,All,Capture production,Tonnes - live weight,61189,United Arab Emirates,9365145,6.533694887
6,ARG,Argentina,2021,All,All,Capture production,Tonnes - live weight,852566,Argentina,45808747,18.61142371
7,ARM,Armenia,2021,All,All,Capture production,Tonnes - live weight,770,Armenia,2790974,0.275889349
8,ASM,American Samoa,2021,All,All,Capture production,Tonnes - live weight,1059,American Samoa,45035,23.51504385
9,ATG,Antigua and Barbuda,2021,All,All,Capture production,Tonnes - live weight,3205,Antigua and Barbuda,93219,34.38140293
10,AUS,Australia,2021,All,All,Capture production,Tonnes - live weight,168899,Australia,25688079,6.574995351
11,AUT,Austria,2021,All,All,Capture production,Tonnes - live weight,350,Austria,8955797,0.039080832
12,AZE,Azerbaijan,2021,All,All,Capture production,Tonnes - live weight,1464,Azerbaijan,10137750,0.144410742
13,BDI,Burundi,2021,All,All,Capture production,Tonnes - live weight,19550,Burundi,12551213,1.557618375
14,BEL,Belgium,2021,All,All,Capture production,Tonnes - live weight,17937,Belgium,11592952,1.547233181
15,BEN,Benin,2021,All,All,Capture production,Tonnes - live weight,74615,Benin,12996895,5.740986597
16,BFA,Burkina Faso,2021,All,All,Capture production,Tonnes - live weight,29731,Burkina Faso,22100683,1.345252543
17,BGD,Bangladesh,2021,All,All,Capture production,Tonnes - live weight,1982483,Bangladesh,169356251,11.70599248
18,BGR,Bulgaria,2021,All,All,Capture production,Tonnes - live weight,9009,Bulgaria,6877743,1.309877383
19,BHR,Bahrain,2021,All,All,Capture production,Tonnes - live weight,15720,Bahrain,1463265,10.74309848
20,BHS,Bahamas,2021,All,All,Capture production,Tonnes - live weight,8407,"Bahamas, The",407906,20.61014057
21,BIH,Bosnia and Herzegovina,2021,All,All,Capture production,Tonnes - live weight,305,Bosnia and Herzegovina,3270943,0.093245281
22,BLR,Belarus,2021,All,All,Capture production,Tonnes - live weight,611,Belarus,9340314,0.06541536
23,BLZ,Belize,2021,All,All,Capture production,Tonnes - live weight,191621,Belize,400031,479.0153763
24,BMU,Bermuda,2021,All,All,Capture production,Tonnes - live weight,419,Bermuda,63867,6.560508557
25,BOL,Bolivia (Plurinat.State),2021,All,All,Capture production,Tonnes - live weight,7600,Bolivia,12079472,0.629166573
26,BRA,Brazil,2021,All,All,Capture production,Tonnes - live weight,760623,Brazil,214326223,3.548903113
27,BRB,Barbados,2021,All,All,Capture production,Tonnes - live weight,847,Barbados,281200,3.012091038
28,BRN,Brunei Darussalam,2021,All,All,Capture production,Tonnes - live weight,15295,Brunei Darussalam,445373,34.34200097
29,BTN,Bhutan,2021,All,All,Capture production,Tonnes - live weight,15,Bhutan,777486,0.019292952
30,BWA,Botswana,2021,All,All,Capture production,Tonnes - live weight,38,Botswana,2588423,0.014680753
31,CAF,Central African Republic,2021,All,All,Capture production,Tonnes - live weight,28000,Central African Republic,5457154,5.130879576
32,CAN,Canada,2021,All,All,Capture production,Tonnes - live weight,741963,Canada,38246108,19.39969944
33,CHE,Switzerland,2021,All,All,Capture production,Tonnes - live weight,1486,Switzerland,8703405,0.170737774
34,CHL,Chile,2021,All,All,Capture production,Tonnes - live weight,1995212,Chile,19493184,102.3543409
35,CHN,China,2021,All,All,Capture production,Tonnes - live weight,12938457,China,1412360000,9.160877538
36,CIV,Côte d'Ivoire,2021,All,All,Capture production,Tonnes - live weight,105295,Cote d'Ivoire,27478249,3.831939946
37,CMR,Cameroon,2021,All,All,Capture production,Tonnes - live weight,290330,Cameroon,27198628,10.67443549
38,COD,"Congo, Dem. Rep. of the",2021,All,All,Capture production,Tonnes - live weight,228665,"Congo, Dem. Rep.",95894118,2.384557101
39,COG,Congo,2021,All,All,Capture production,Tonnes - live weight,69419,"Congo, Rep.",5835806,11.89535773
40,COL,Colombia,2021,All,All,Capture production,Tonnes - live weight,128869,Colombia,51516562,2.501506215
41,COM,Comoros,2021,All,All,Capture production,Tonnes - live weight,19356,Comoros,821625,23.55819261
42,CPV,Cabo Verde,2021,All,All,Capture production,Tonnes - live weight,11624,Cabo Verde,587925,19.77122932
