"species","area","year","B_Bmsy","F_Fmsy","species_code","area_code"
"Acadian redfish","Gulf of Maine/Georges Bank",2020,1.53600001335144,0.446999996900558,"Acadian_redfish","Gulf_of_Maine/Georges_Bank"
"Alaska plaice","Bering Sea/Aleutian Islands",2021,1.57799994945526,0.467000007629395,"Alaska_plaice","Bering_Sea/Aleutian_Islands"
"Alaska skate","Bering Sea/Aleutian Islands",2021,2.27600002288818,0.337000012397766,"Alaska_skate","Bering_Sea/Aleutian_Islands"
"Albacore","North Atlantic",2020,1.32000005245209,0.63400000333786,"Albacore","North_Atlantic"
"American plaice","Gulf of Maine/Georges Bank",2019,1.16100001335144,0.344999998807907,"American_plaice","Gulf_of_Maine/Georges_Bank"
"Arrowtooth flounder","Bering Sea/Aleutian Islands",2021,2.57399988174438,0.105999998748302,"Arrowtooth_flounder","Bering_Sea/Aleutian_Islands"
"Arrowtooth flounder","Gulf of Alaska",2021,2.04999995231628,0.123999997973442,"Arrowtooth_flounder","Gulf_of_Alaska"
"Atka mackerel","Bering Sea/Aleutian Islands",2021,1.16400003433228,0.610000014305115,"Atka_mackerel","Bering_Sea/Aleutian_Islands"
"Atlantic herring","Northwestern Atlantic Coast",2020,0.28999999165535,0.467999994754791,"Atlantic_herring","Northwestern_Atlantic_Coast"
"Atlantic mackerel","Gulf of Maine/Cape Hatteras",2021,0.237000003457069,2.08200001716614,"Atlantic_mackerel","Gulf_of_Maine/Cape_Hatteras"
"Atlantic sharpnose shark","Atlantic",2013,2.07800006866455,0.233999997377396,"Atlantic_sharpnose_shark","Atlantic"
"Atlantic surfclam","Mid-Atlantic Coast",2020,1.19000005722046,0.254999995231628,"Atlantic_surfclam","Mid-Atlantic_Coast"
"Atlantic wolffish","Gulf of Maine/Georges Bank",2020,0.437999993562698,0.025000000372529,"Atlantic_wolffish","Gulf_of_Maine/Georges_Bank"
"Aurora rockfish","Pacific Coast",2013,1.59399998188019,0.614000022411346,"Aurora_rockfish","Pacific_Coast"
"Big skate","Pacific Coast",2019,1.98000001907349,0.148000001907349,"Big_skate","Pacific_Coast"
"Bigeye tuna","Atlantic",2021,0.939999997615814,1,"Bigeye_tuna","Atlantic"
"Bigeye tuna","Eastern Pacific",2020,0.9200000166893,1,"Bigeye_tuna","Eastern_Pacific"
"Bigeye tuna","Western and Central Pacific",2020,1.77999997138977,0.740000009536743,"Bigeye_tuna","Western_and_Central_Pacific"
"Black grouper","Southern Atlantic Coast/Gulf of Mexico",2010,1.39999997615814,0.5,"Black_grouper","Southern_Atlantic_Coast/Gulf_of_Mexico"
"Black rockfish","California",2019,1.43700003623962,0.453999996185303,"Black_rockfish","California"
"Black rockfish","Northern Pacific Coast",2007,1.37999999523163,0.698000013828278,"Black_rockfish","Northern_Pacific_Coast"
