"iso3c","percapita_catch"
"WLD",11.5
"AND",0
"ARE",6.3
"AFG",0.1
"ATG",33.6
"ALB",2.7
"ARM",0.3
"AGO",11.2
"ARG",18.5
"ASM",18.9
"AUT",0
"AUS",6.9
"ABW",1.5
"AZE",0.2
"BIH",0.1
"BRB",3.7
"BGD",11.5
"BEL",1.7
"BFA",1.4
"BGR",0.9
"BHR",9.8
"BDI",1.6
"BEN",5.9
"BMU",5.6
"BRN",29.6
"BOL",0.6
"BRA",3.4
"BHS",18.3
"BTN",0
"BWA",0
"BLR",0.1
"BLZ",473.3
"CAN",19.4
"COD",2.3
"CAF",5.1
"COG",12.4
"CHE",0.2
"CIV",3.8
"CHL",113.1
"CMR",10.6
"CHN",9.5
"COL",1.8
"CRI",5.2
"CUB",1.8
"CPV",33.4
"CUW",148.8
"CYP",1.1
"DEU",2.6
"DJI",2.1
"DNK",125.7
"DMA",7.3
"DOM",1.3
"DZA",1.6
"ECU",36.2
"EST",55.8
"EGY",3.9
"ERI",1.4
"ESP",17
"ETH",0.5
"FIN",25.3
"FJI",40.7
"FSM",1728.3
"FRO",12330.2
"FRA",7.1
"GAB",12.6
"GBR",9.3
"GRD",15.5
"GEO",55.6
"GHA",11.5
"GIB",0
"GRL",4598.6
"GMB",19.8
"GIN",23.4
"GNQ",3.7
"GRC",6.7
"GTM",0.7
"GUM",0.3
"GNB",31
"GUY",50.2
"HKG",16
"HND",1.6
"HRV",17.7
"HTI",1.4
"HUN",0.6
"IDN",25.5
"IRL",41.8
"ISR",0.2
"IMN",32.6
"IND",3.3
"IRQ",0.8
"IRN",9.1
"ISL",2825.4
"ITA",2.4
"CHI",12.1
"JAM",4.6
"JOR",0.1
"JPN",25.7
"KEN",2.4
"KGZ",0
"KHM",32.7
"KIR",1682.3
"COM",25.7
"KNA",13.6
"PRK",7.8
"KOR",26.5
"KWT",0.7
"CYM",1.9
"KAZ",2.3
"LAO",9.6
"LBN",0.4
"LCA",7.9
"LIE",0
"LKA",17.7
"LBR",6.2
"LSO",0
"LTU",32.6
"LUX",0
"LVA",34.2
"LBY",4.8
"MAR",38.1
"MCO",0
"MDA",0
"MNE",1.3
"MAF",2.8
"MDG",3.9
"MHL",2031.7
"MKD",0.2
"MLI",5.5
"MMR",37
"MNG",0
"MAC",2.2
"MNP",2.1
"MRT",150.8
"MLT",4.1
"MUS",20.5
"MDV",288.8
"MWI",8.8
"MEX",12
"MYS",41.9
"MOZ",12.7
"NAM",132.4
"NCL",12.3
"NER",1.9
"NGA",3.8
"NIC",6.4
"NLD",17.6
"NOR",488
"NPL",0.7
"NRU",7502.1
"NZL",71.7
"OMN",174.6
"PAN",45.3
"PER",170.5
"PYF",40.3
"PNG",22.3
"PHL",17.1
"PAK",2.2
"POL",5.4
"PRI",0.5
"PSE",1
"PRT",15.5
"PLW",43.2
"PRY",2.6
"QAT",5.5
"ROU",0.4
"SRB",0.3
"RUS",35.3
"RWA",2.3
"SAU",1.6
"SLB",59.4
"SYC",1418.3
"SDN",0.8
"SWE",17.4
"SGP",0.1
"SVN",0.1
"SVK",0.3
"SLE",24.4
"SMR",0
"SEN",27.9
"SOM",1.8
"SUR",49
"SSD",2.8
"STP",26
"SLV",9.5
"SXM",6
"SYR",0.2
"SWZ",0.1
"TCA",29.3
"TCD",6.3
"TGO",2.1
"THA",22.2
"TJK",0.2
"TLS",4
"TKM",2.3
"TUN",10
"TON",10.4
"TTO",8.5
"TUV",1020.4
"TZA",8.3
"UKR",1.6
"UGA",12.8
"USA",12.9
"URY",18.3
"UZB",1.3
"VCT",20.3
"VEN",6.9
"VGB",36.3
"VIR",3.3
"VNM",36.3
"VUT",164.9
"WSM",46.3
"YEM",4.1
"ZAF",10.3
"ZMB",5.6
"ZWE",1.7
